product_id,product_name,category,brand,price,quantity_in_stock,supplier_id,created_date,last_updated,is_active,rating,description
1,BrandA Shoes 1,Clothing,BrandA,81.02,758,70,2023-03-13 23:00:00,2023-03-27 20:00:00,True,3.4,High quality shoes from BrandA in clothing category. Product ID: 1
2,BrandA Laptop 2,Electronics,BrandA,476.34,203,92,2023-09-16 19:00:00,2023-09-20 12:00:00,False,1.9,High quality laptop from BrandA in electronics category. Product ID: 2
3,BrandA Shoes 3,Sports,BrandA,212.46,980,98,2023-06-24 08:00:00,2023-07-13 14:00:00,False,1.4,High quality shoes from BrandA in sports category. Product ID: 3
4,BrandB Mirror 4,Automotive,BrandB,426.8,470,69,2023-11-06 08:00:00,2023-11-12 07:00:00,True,4.9,High quality mirror from BrandB in automotive category. Product ID: 4
5,BrandB Light 5,Automotive,BrandB,418.11,721,9,2023-11-13 11:00:00,2024-01-25 17:00:00,True,3.6,High quality light from BrandB in automotive category. Product ID: 5
6,BrandB Shirt 6,Sports,BrandB,261.28,854,47,2023-07-14 08:00:00,2023-09-11 04:00:00,True,2.5,High quality shirt from BrandB in sports category. Product ID: 6
7,BrandE Table 7,Home & Garden,BrandE,186.65,167,60,2023-03-29 17:00:00,2023-07-01 00:00:00,False,2.1,High quality table from BrandE in home & garden category. Product ID: 7
8,BrandF Chair 8,Home & Garden,BrandF,76.42,67,28,2023-01-17 10:00:00,2023-03-09 18:00:00,False,1.9,High quality chair from BrandF in home & garden category. Product ID: 8
9,BrandG Robot 9,Toys,BrandG,51.43,551,34,2023-03-13 07:00:00,2023-06-17 00:00:00,False,4.6,High quality robot from BrandG in toys category. Product ID: 9
10,BrandF Filter 10,Automotive,BrandF,498.72,773,7,2023-03-12 16:00:00,2023-05-14 18:00:00,True,1.6,High quality filter from BrandF in automotive category. Product ID: 10
11,BrandG Textbook 11,Books,BrandG,22.31,994,71,2023-11-02 14:00:00,2024-01-08 22:00:00,True,3.7,High quality textbook from BrandG in books category. Product ID: 11
12,BrandE Hat 12,Clothing,BrandE,42.35,976,93,2023-08-11 05:00:00,2023-10-08 05:00:00,False,4.9,High quality hat from BrandE in clothing category. Product ID: 12
13,BrandB Science Fiction 13,Books,BrandB,42.88,382,98,2023-09-17 19:00:00,2023-10-12 23:00:00,True,3.2,High quality science fiction from BrandB in books category. Product ID: 13
14,BrandF Watch 14,Electronics,BrandF,87.98,246,73,2023-07-05 09:00:00,2023-08-04 10:00:00,True,1.3,High quality watch from BrandF in electronics category. Product ID: 14
15,BrandB Puzzle 15,Toys,BrandB,47.23,540,78,2023-09-01 17:00:00,2023-09-23 01:00:00,False,4.9,High quality puzzle from BrandB in toys category. Product ID: 15
16,BrandE Cushion 16,Home & Garden,BrandE,298.59,462,16,2023-11-29 11:00:00,2024-01-25 03:00:00,True,1.9,High quality cushion from BrandE in home & garden category. Product ID: 16
